neuron_1,neuron_2,neuron3
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.29
1.00,0.42,0.29
1.00,0.42,0.29
1.00,0.42,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.40,0.28
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.25
1.00,0.39,0.24
1.00,0.39,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.24
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.38,0.23
1.00,0.37,0.23
1.00,0.37,0.23
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.22
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.37,0.21
1.00,0.36,0.21
1.00,0.36,0.21
1.00,0.36,0.21
1.00,0.36,0.21
1.00,0.36,0.21
1.00,0.36,0.21
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.20
1.00,0.36,0.19
1.00,0.36,0.19
1.00,0.36,0.19
1.00,0.36,0.19
1.00,0.36,0.19
1.00,0.36,0.19
1.00,0.36,0.19
1.00,0.36,0.19
1.00,0.36,0.19
1.00,0.36,0.19
1.00,0.35,0.19
1.00,0.35,0.19
1.00,0.35,0.19
1.00,0.35,0.19
1.00,0.35,0.19
1.00,0.35,0.19
1.00,0.35,0.19
1.00,0.35,0.19
1.00,0.35,0.19
1.00,0.35,0.19
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.18
1.00,0.35,0.17
1.00,0.35,0.17
1.00,0.35,0.17
1.00,0.35,0.17
1.00,0.35,0.17
1.00,0.35,0.17
1.00,0.35,0.17
1.00,0.35,0.17
1.00,0.35,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.17
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.16
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.34,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.15
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.14
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.33,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.13
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.12
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.32,0.11
1.00,0.31,0.11
1.00,0.31,0.11
1.00,0.31,0.11
1.00,0.31,0.11
1.00,0.31,0.11
1.00,0.31,0.11
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.10
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.09
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.31,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.08
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.07
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.06
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.30,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.05
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04
1.00,0.29,0.04