neuron_1,neuron_2,neuron_3,neuron_4
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.05,0.05,0.05,0.05
0.09,0.09,0.09,0.08
0.13,0.13,0.12,0.11
0.15,0.15,0.15,0.14
0.18,0.18,0.17,0.16
0.19,0.20,0.18,0.17
0.21,0.21,0.20,0.18
0.22,0.22,0.21,0.19
0.22,0.23,0.22,0.20
0.23,0.24,0.22,0.20
0.23,0.24,0.23,0.21
0.24,0.25,0.23,0.21
0.24,0.25,0.24,0.21
0.24,0.26,0.24,0.21
0.24,0.26,0.24,0.21
0.24,0.26,0.25,0.21
0.24,0.26,0.25,0.21
0.24,0.26,0.25,0.22
0.23,0.26,0.25,0.22
0.23,0.26,0.25,0.22
0.23,0.26,0.26,0.22
0.23,0.26,0.26,0.22
0.23,0.26,0.26,0.22
0.22,0.26,0.26,0.22
0.22,0.26,0.26,0.22
0.22,0.26,0.26,0.22
0.22,0.26,0.26,0.22
0.21,0.25,0.27,0.22
0.21,0.25,0.27,0.22
0.21,0.25,0.27,0.22
0.21,0.25,0.27,0.23
0.21,0.25,0.27,0.23
0.20,0.24,0.27,0.23
0.20,0.24,0.27,0.23
0.20,0.24,0.27,0.23
0.20,0.23,0.27,0.23
0.20,0.23,0.27,0.24
0.20,0.23,0.27,0.24
0.20,0.22,0.27,0.24
0.19,0.22,0.27,0.24
0.19,0.22,0.27,0.25
0.19,0.21,0.27,0.25
0.19,0.21,0.27,0.25
0.19,0.21,0.27,0.26
0.19,0.20,0.27,0.26
0.19,0.20,0.27,0.26
0.19,0.20,0.26,0.26
0.20,0.19,0.26,0.27
0.20,0.19,0.26,0.27
0.20,0.18,0.26,0.27
0.20,0.18,0.25,0.28
0.20,0.18,0.25,0.28
0.20,0.17,0.25,0.28
0.21,0.17,0.24,0.28
0.21,0.17,0.24,0.28
0.21,0.16,0.23,0.29
0.22,0.16,0.23,0.29
0.22,0.16,0.22,0.29
0.23,0.16,0.22,0.29
0.23,0.16,0.21,0.29
0.23,0.15,0.21,0.29
0.24,0.15,0.20,0.29
0.24,0.15,0.20,0.29
0.25,0.15,0.19,0.29
0.25,0.15,0.18,0.29
0.26,0.15,0.18,0.29
0.27,0.15,0.17,0.29
0.27,0.15,0.16,0.28
0.28,0.16,0.16,0.28
0.28,0.16,0.15,0.28
0.29,0.16,0.15,0.27
0.29,0.16,0.14,0.27
0.30,0.17,0.13,0.27
0.30,0.17,0.13,0.26
0.31,0.18,0.12,0.25
0.31,0.18,0.12,0.25
0.32,0.19,0.11,0.24
0.32,0.19,0.11,0.23
0.32,0.20,0.10,0.23
0.33,0.21,0.10,0.22
0.33,0.22,0.09,0.21
0.33,0.22,0.09,0.20
0.34,0.23,0.09,0.19
0.34,0.24,0.09,0.18
0.34,0.25,0.09,0.17
0.34,0.26,0.09,0.16
0.34,0.27,0.09,0.15
0.34,0.28,0.09,0.14
0.33,0.29,0.09,0.13
0.33,0.30,0.09,0.12
0.33,0.31,0.09,0.11
0.32,0.32,0.10,0.10
0.32,0.33,0.10,0.09
0.31,0.34,0.11,0.07
0.30,0.35,0.12,0.06
0.30,0.36,0.12,0.05
0.29,0.37,0.13,0.04
0.28,0.38,0.14,0.03
0.27,0.39,0.15,0.03
0.26,0.39,0.16,0.02
0.24,0.40,0.17,0.01
0.23,0.41,0.19,0.00
0.22,0.41,0.20,0.00
0.20,0.42,0.22,0.00
0.19,0.42,0.23,0.00
0.17,0.43,0.25,0.00
0.15,0.43,0.26,0.00
0.14,0.43,0.28,0.00
0.12,0.43,0.29,0.00
0.10,0.42,0.31,0.00
0.08,0.42,0.33,0.00
0.06,0.41,0.34,0.00
0.05,0.41,0.36,0.00
0.03,0.40,0.38,0.00
0.01,0.39,0.40,0.01
0.00,0.38,0.42,0.02
0.00,0.37,0.43,0.03
0.00,0.36,0.45,0.05
0.00,0.35,0.46,0.06
0.00,0.33,0.48,0.07
0.00,0.31,0.49,0.08
0.00,0.30,0.50,0.10
0.00,0.28,0.50,0.11
0.00,0.26,0.51,0.12
0.00,0.24,0.52,0.14
0.00,0.22,0.52,0.15
0.00,0.20,0.52,0.17
0.00,0.18,0.52,0.19
0.00,0.15,0.52,0.21
0.00,0.13,0.52,0.22
0.00,0.11,0.52,0.24
0.00,0.09,0.51,0.26
0.00,0.06,0.51,0.28
0.00,0.04,0.50,0.30
0.00,0.02,0.49,0.32
0.00,0.00,0.48,0.35
0.00,0.00,0.47,0.37
0.00,0.00,0.46,0.39
0.00,0.00,0.44,0.41
0.00,0.00,0.43,0.43
0.00,0.00,0.41,0.45
0.00,0.00,0.40,0.46
0.00,0.00,0.38,0.48
0.00,0.00,0.37,0.49
0.00,0.00,0.35,0.51
0.00,0.00,0.33,0.52
0.00,0.00,0.31,0.53
0.00,0.00,0.29,0.54
0.01,0.00,0.28,0.55
0.03,0.00,0.26,0.56
0.04,0.00,0.24,0.57
0.06,0.00,0.22,0.58
0.08,0.00,0.19,0.58
0.10,0.00,0.17,0.58
0.12,0.00,0.15,0.58
0.14,0.00,0.12,0.58
0.16,0.00,0.10,0.58
0.18,0.00,0.08,0.58
0.21,0.00,0.05,0.57
0.23,0.00,0.03,0.56
0.25,0.00,0.00,0.55
0.28,0.00,0.00,0.54
0.30,0.00,0.00,0.53
0.32,0.00,0.00,0.52
0.35,0.00,0.00,0.51
0.37,0.00,0.00,0.49
0.39,0.00,0.00,0.47
0.41,0.00,0.00,0.46
0.42,0.00,0.00,0.44
0.44,0.00,0.00,0.42
0.46,0.00,0.00,0.40
0.47,0.00,0.00,0.38
0.49,0.00,0.00,0.36
0.50,0.00,0.00,0.34
0.51,0.00,0.00,0.32
0.52,0.00,0.00,0.31
0.54,0.00,0.00,0.29
0.55,0.00,0.00,0.27
0.56,0.00,0.00,0.25
0.56,0.00,0.00,0.23
0.57,0.00,0.00,0.21
0.58,0.02,0.00,0.19
0.59,0.04,0.00,0.17
0.59,0.07,0.00,0.15
0.60,0.09,0.00,0.13
0.60,0.11,0.00,0.10
0.60,0.13,0.00,0.08
0.59,0.16,0.00,0.06
0.59,0.18,0.00,0.03
0.58,0.20,0.00,0.01
0.58,0.23,0.00,0.00
0.57,0.25,0.00,0.00
0.56,0.28,0.00,0.00
0.55,0.30,0.00,0.00
0.53,0.32,0.00,0.00
0.52,0.34,0.00,0.00
0.50,0.36,0.00,0.00
0.49,0.38,0.00,0.00
0.47,0.40,0.00,0.00
0.45,0.42,0.00,0.00
0.43,0.43,0.00,0.00
0.42,0.45,0.00,0.00
0.40,0.46,0.00,0.00
0.38,0.48,0.00,0.00
0.36,0.49,0.00,0.00
0.34,0.50,0.00,0.00
0.32,0.51,0.00,0.00
0.30,0.52,0.00,0.00
0.28,0.53,0.00,0.00
0.26,0.54,0.00,0.00
0.24,0.55,0.00,0.00
0.22,0.56,0.00,0.00
0.20,0.56,0.00,0.00
0.18,0.57,0.01,0.00
0.16,0.58,0.03,0.00
0.15,0.58,0.05,0.00
0.13,0.59,0.07,0.00
0.11,0.59,0.10,0.00
0.08,0.59,0.12,0.00
0.06,0.58,0.14,0.00
0.04,0.58,0.17,0.00
0.02,0.58,0.19,0.00
0.00,0.57,0.22,0.00
0.00,0.56,0.24,0.00
0.00,0.55,0.26,0.00
0.00,0.54,0.29,0.00
0.00,0.52,0.31,0.00
0.00,0.51,0.33,0.00
0.00,0.49,0.35,0.00
0.00,0.48,0.37,0.00
0.00,0.46,0.38,0.00
0.00,0.44,0.40,0.00
0.00,0.43,0.42,0.00
0.00,0.41,0.43,0.00
0.00,0.39,0.44,0.00
0.00,0.37,0.46,0.00
0.00,0.35,0.47,0.00
0.00,0.33,0.48,0.00
0.00,0.31,0.49,0.00
0.00,0.29,0.50,0.00
0.00,0.27,0.51,0.00
0.00,0.25,0.52,0.00
0.00,0.24,0.53,0.00
0.00,0.22,0.54,0.00
0.00,0.20,0.54,0.00
0.00,0.18,0.55,0.00
0.00,0.16,0.56,0.02
0.00,0.15,0.56,0.04
0.00,0.13,0.56,0.06
0.00,0.11,0.57,0.08
0.00,0.09,0.57,0.11
0.00,0.07,0.57,0.13
0.00,0.05,0.56,0.15
0.00,0.02,0.56,0.18
0.00,0.00,0.55,0.20
0.00,0.00,0.54,0.22
0.00,0.00,0.53,0.25
0.00,0.00,0.52,0.27
0.00,0.00,0.51,0.29
0.00,0.00,0.50,0.31
0.00,0.00,0.48,0.33
0.00,0.00,0.47,0.35
0.00,0.00,0.45,0.37
0.00,0.00,0.43,0.38
0.00,0.00,0.42,0.40
0.00,0.00,0.40,0.41
0.00,0.00,0.38,0.43
0.00,0.00,0.36,0.44
0.00,0.00,0.34,0.45
0.00,0.00,0.33,0.46
0.00,0.00,0.31,0.47
0.00,0.00,0.29,0.48
0.00,0.00,0.27,0.49
0.00,0.00,0.25,0.50
0.00,0.00,0.23,0.51
0.00,0.00,0.21,0.52
0.00,0.00,0.20,0.53
0.00,0.00,0.18,0.53
0.00,0.00,0.16,0.54
0.01,0.00,0.14,0.54
0.03,0.00,0.13,0.55
0.05,0.00,0.11,0.55
0.08,0.00,0.09,0.55
0.10,0.00,0.07,0.55
0.12,0.00,0.05,0.55
0.14,0.00,0.03,0.54
0.17,0.00,0.00,0.54
0.19,0.00,0.00,0.53
0.21,0.00,0.00,0.52
0.24,0.00,0.00,0.51
0.26,0.00,0.00,0.50
0.28,0.00,0.00,0.49
0.30,0.00,0.00,0.47
0.32,0.00,0.00,0.46
0.34,0.00,0.00,0.44
0.35,0.00,0.00,0.43
0.37,0.00,0.00,0.41
0.38,0.00,0.00,0.39
0.40,0.00,0.00,0.38
0.41,0.00,0.00,0.36
0.43,0.00,0.00,0.34
0.44,0.00,0.00,0.32
0.45,0.00,0.00,0.31
0.46,0.00,0.00,0.29
0.47,0.00,0.00,0.27
0.48,0.00,0.00,0.25
0.49,0.00,0.00,0.23
0.50,0.00,0.00,0.21
0.50,0.00,0.00,0.20
0.51,0.00,0.00,0.18
0.52,0.00,0.00,0.16
0.52,0.01,0.00,0.15
0.53,0.03,0.00,0.13
0.54,0.05,0.00,0.11
0.54,0.07,0.00,0.09
0.54,0.09,0.00,0.07
0.54,0.11,0.00,0.05
0.54,0.13,0.00,0.03
0.53,0.16,0.00,0.01
0.53,0.18,0.00,0.00
0.52,0.20,0.00,0.00
0.51,0.22,0.00,0.00
0.50,0.25,0.00,0.00
0.49,0.27,0.00,0.00
0.48,0.29,0.00,0.00
0.47,0.31,0.00,0.00
0.45,0.32,0.00,0.00
0.44,0.34,0.00,0.00
0.42,0.36,0.00,0.00
0.41,0.37,0.00,0.00
0.39,0.39,0.00,0.00
0.37,0.40,0.00,0.00
0.36,0.41,0.00,0.00
0.34,0.42,0.00,0.00
0.32,0.44,0.00,0.00
0.31,0.45,0.00,0.00
0.29,0.46,0.00,0.00
0.27,0.47,0.00,0.00
0.25,0.47,0.00,0.00
0.23,0.48,0.00,0.00
0.22,0.49,0.00,0.00
0.20,0.50,0.00,0.00
0.18,0.50,0.00,0.00
0.17,0.51,0.00,0.00
0.15,0.52,0.02,0.00
0.13,0.52,0.04,0.00
0.12,0.53,0.06,0.00
0.10,0.53,0.08,0.00
0.08,0.53,0.10,0.00
0.06,0.53,0.12,0.00
0.04,0.52,0.14,0.00
0.02,0.52,0.17,0.00
0.00,0.51,0.19,0.00
0.00,0.51,0.21,0.00
0.00,0.50,0.23,0.00
0.00,0.49,0.25,0.00
0.00,0.48,0.27,0.00
0.00,0.46,0.29,0.00
0.00,0.45,0.31,0.00
0.00,0.44,0.33,0.00
0.00,0.42,0.34,0.00
0.00,0.41,0.36,0.00
0.00,0.39,0.37,0.00
0.00,0.37,0.39,0.00
0.00,0.36,0.40,0.00
0.00,0.34,0.41,0.00
0.00,0.32,0.42,0.00
0.00,0.31,0.43,0.00
0.00,0.29,0.44,0.00
0.00,0.27,0.45,0.00
0.00,0.25,0.46,0.00
0.00,0.24,0.47,0.00
0.00,0.22,0.48,0.00
0.00,0.20,0.49,0.00
0.00,0.19,0.49,0.00
0.00,0.17,0.50,0.00
0.00,0.15,0.51,0.01
0.00,0.14,0.51,0.03
0.00,0.12,0.51,0.05
0.00,0.10,0.52,0.07
0.00,0.09,0.52,0.10
0.00,0.07,0.52,0.12
0.00,0.05,0.51,0.14
0.00,0.03,0.51,0.16
0.00,0.01,0.50,0.18
0.00,0.00,0.50,0.20
0.00,0.00,0.49,0.23
0.00,0.00,0.48,0.25
0.00,0.00,0.47,0.27
0.00,0.00,0.46,0.28
0.00,0.00,0.44,0.30
0.00,0.00,0.43,0.32
0.00,0.00,0.42,0.34
0.00,0.00,0.40,0.35
0.00,0.00,0.39,0.37
0.00,0.00,0.37,0.38
0.00,0.00,0.35,0.39
0.00,0.00,0.34,0.40
0.00,0.00,0.32,0.42
0.00,0.00,0.30,0.43
0.00,0.00,0.29,0.44
0.00,0.00,0.27,0.45
0.00,0.00,0.25,0.46
0.00,0.00,0.23,0.46
0.00,0.00,0.22,0.47
0.00,0.00,0.20,0.48
0.00,0.00,0.18,0.49
0.00,0.00,0.17,0.49
0.00,0.00,0.15,0.50
0.01,0.00,0.14,0.50
0.03,0.00,0.12,0.51
0.05,0.00,0.10,0.51
0.07,0.00,0.09,0.51
0.09,0.00,0.07,0.51
0.11,0.00,0.05,0.51
0.13,0.00,0.03,0.50
0.16,0.00,0.01,0.50
0.18,0.00,0.00,0.49
0.20,0.00,0.00,0.48
0.22,0.00,0.00,0.48
0.24,0.00,0.00,0.46
0.26,0.00,0.00,0.45
0.28,0.00,0.00,0.44
0.30,0.00,0.00,0.43
0.31,0.00,0.00,0.41
0.33,0.00,0.00,0.40
0.35,0.00,0.00,0.38
0.36,0.00,0.00,0.37
0.37,0.00,0.00,0.35
0.39,0.00,0.00,0.33
0.40,0.00,0.00,0.32
0.41,0.00,0.00,0.30
0.42,0.00,0.00,0.28
0.43,0.00,0.00,0.27
0.44,0.00,0.00,0.25
0.45,0.00,0.00,0.23
0.46,0.00,0.00,0.22
0.47,0.00,0.00,0.20
0.47,0.00,0.00,0.19
0.48,0.00,0.00,0.17
0.49,0.00,0.00,0.15
0.49,0.01,0.00,0.14
0.50,0.03,0.00,0.12
0.50,0.05,0.00,0.11
0.51,0.07,0.00,0.09
0.51,0.09,0.00,0.07
0.51,0.11,0.00,0.05
0.50,0.13,0.00,0.03
0.50,0.15,0.00,0.01
0.49,0.17,0.00,0.00
0.49,0.19,0.00,0.00
0.48,0.22,0.00,0.00
0.47,0.24,0.00,0.00
0.46,0.26,0.00,0.00
0.45,0.27,0.00,0.00
0.44,0.29,0.00,0.00
0.42,0.31,0.00,0.00
0.41,0.33,0.00,0.00
0.40,0.34,0.00,0.00
0.38,0.35,0.00,0.00
0.37,0.37,0.00,0.00
0.35,0.38,0.00,0.00
0.33,0.39,0.00,0.00
0.32,0.40,0.00,0.00
0.30,0.41,0.00,0.00
0.28,0.43,0.00,0.00
0.27,0.43,0.00,0.00
0.25,0.44,0.00,0.00
0.23,0.45,0.00,0.00
0.22,0.46,0.00,0.00
0.20,0.47,0.00,0.00
0.19,0.47,0.00,0.00
0.17,0.48,0.00,0.00
0.15,0.49,0.01,0.00
0.14,0.49,0.03,0.00
0.12,0.50,0.05,0.00
0.11,0.50,0.07,0.00
0.09,0.50,0.09,0.00
0.07,0.50,0.11,0.00
0.05,0.50,0.13,0.00
0.03,0.50,0.15,0.00
0.01,0.49,0.17,0.00
0.00,0.48,0.19,0.00
0.00,0.48,0.21,0.00
0.00,0.47,0.23,0.00
0.00,0.46,0.25,0.00
0.00,0.45,0.27,0.00
0.00,0.44,0.29,0.00
0.00,0.42,0.30,0.00
0.00,0.41,0.32,0.00
0.00,0.39,0.34,0.00
0.00,0.38,0.35,0.00
0.00,0.36,0.36,0.00
0.00,0.35,0.38,0.00
0.00,0.33,0.39,0.00
0.00,0.32,0.40,0.00
0.00,0.30,0.41,0.00
0.00,0.28,0.42,0.00
0.00,0.27,0.43,0.00
0.00,0.25,0.44,0.00
0.00,0.23,0.45,0.00
0.00,0.22,0.46,0.00
0.00,0.20,0.46,0.00
0.00,0.19,0.47,0.00
0.00,0.17,0.48,0.00
0.00,0.15,0.48,0.01
0.00,0.14,0.49,0.03
0.00,0.12,0.49,0.05
0.00,0.11,0.50,0.07
0.00,0.09,0.50,0.09
0.00,0.07,0.50,0.11
0.00,0.05,0.49,0.13
0.00,0.03,0.49,0.15
0.00,0.01,0.49,0.17
0.00,0.00,0.48,0.19
0.00,0.00,0.47,0.21
0.00,0.00,0.46,0.23
0.00,0.00,0.45,0.25
0.00,0.00,0.44,0.27
0.00,0.00,0.43,0.29
0.00,0.00,0.42,0.30
0.00,0.00,0.41,0.32
0.00,0.00,0.39,0.33
0.00,0.00,0.38,0.35
0.00,0.00,0.36,0.36
0.00,0.00,0.35,0.37
0.00,0.00,0.33,0.39
0.00,0.00,0.31,0.40
0.00,0.00,0.30,0.41
0.00,0.00,0.28,0.42
0.00,0.00,0.27,0.43
0.00,0.00,0.25,0.44
0.00,0.00,0.23,0.45
0.00,0.00,0.22,0.45
0.00,0.00,0.20,0.46
0.00,0.00,0.18,0.47
0.00,0.00,0.17,0.47
0.00,0.00,0.15,0.48
0.01,0.00,0.14,0.49
0.03,0.00,0.12,0.49
0.05,0.00,0.11,0.49
0.07,0.00,0.09,0.49
0.09,0.00,0.07,0.49
0.11,0.00,0.05,0.49
0.13,0.00,0.03,0.49
0.15,0.00,0.01,0.48
0.17,0.00,0.00,0.48
0.19,0.00,0.00,0.47
0.21,0.00,0.00,0.46
0.23,0.00,0.00,0.45
0.25,0.00,0.00,0.44
0.27,0.00,0.00,0.43
0.29,0.00,0.00,0.42
0.30,0.00,0.00,0.40
0.32,0.00,0.00,0.39
0.33,0.00,0.00,0.37
0.35,0.00,0.00,0.36
0.36,0.00,0.00,0.34
0.37,0.00,0.00,0.33
0.39,0.00,0.00,0.31
0.40,0.00,0.00,0.30
0.41,0.00,0.00,0.28
0.42,0.00,0.00,0.26
0.43,0.00,0.00,0.25
0.44,0.00,0.00,0.23
0.44,0.00,0.00,0.22
0.45,0.00,0.00,0.20
0.46,0.00,0.00,0.18
0.47,0.00,0.00,0.17
0.47,0.00,0.00,0.15
0.48,0.01,0.00,0.14
0.48,0.03,0.00,0.12
0.49,0.05,0.00,0.11
0.49,0.07,0.00,0.09
0.49,0.09,0.00,0.07
0.49,0.11,0.00,0.05
0.49,0.13,0.00,0.03
0.49,0.15,0.00,0.01
0.48,0.17,0.00,0.00
0.48,0.19,0.00,0.00
0.47,0.21,0.00,0.00
0.46,0.23,0.00,0.00
0.45,0.25,0.00,0.00
0.44,0.27,0.00,0.00
0.43,0.28,0.00,0.00
0.42,0.30,0.00,0.00
0.40,0.32,0.00,0.00
0.39,0.33,0.00,0.00
0.37,0.35,0.00,0.00
0.36,0.36,0.00,0.00
0.34,0.37,0.00,0.00
0.33,0.38,0.00,0.00
0.31,0.39,0.00,0.00
0.30,0.41,0.00,0.00
0.28,0.42,0.00,0.00
0.26,0.42,0.00,0.00
0.25,0.43,0.00,0.00
0.23,0.44,0.00,0.00
0.21,0.45,0.00,0.00
0.20,0.46,0.00,0.00
0.18,0.46,0.00,0.00
0.17,0.47,0.00,0.00
0.15,0.48,0.01,0.00
0.14,0.48,0.03,0.00
0.12,0.49,0.05,0.00
0.11,0.49,0.07,0.00
0.09,0.49,0.09,0.00
0.07,0.49,0.11,0.00
0.05,0.49,0.13,0.00
0.03,0.48,0.15,0.00
0.01,0.48,0.17,0.00
0.00,0.47,0.19,0.00
0.00,0.47,0.21,0.00
0.00,0.46,0.23,0.00
0.00,0.45,0.25,0.00
0.00,0.44,0.27,0.00
0.00,0.43,0.28,0.00
0.00,0.41,0.30,0.00
0.00,0.40,0.32,0.00
0.00,0.39,0.33,0.00
0.00,0.37,0.34,0.00
0.00,0.36,0.36,0.00
0.00,0.34,0.37,0.00
0.00,0.33,0.38,0.00
0.00,0.31,0.39,0.00
0.00,0.29,0.40,0.00
0.00,0.28,0.41,0.00
0.00,0.26,0.42,0.00
0.00,0.25,0.43,0.00
0.00,0.23,0.44,0.00
0.00,0.21,0.45,0.00
0.00,0.20,0.46,0.00
0.00,0.18,0.46,0.00
0.00,0.17,0.47,0.00
0.00,0.15,0.48,0.01
0.00,0.14,0.48,0.03
0.00,0.12,0.49,0.05
0.00,0.10,0.49,0.07
0.00,0.09,0.49,0.09
0.00,0.07,0.49,0.11
0.00,0.05,0.49,0.13
0.00,0.03,0.48,0.15
0.00,0.01,0.48,0.17
0.00,0.00,0.47,0.19
0.00,0.00,0.46,0.21
0.00,0.00,0.46,0.23
0.00,0.00,0.45,0.25
0.00,0.00,0.44,0.27
0.00,0.00,0.42,0.28
0.00,0.00,0.41,0.30
0.00,0.00,0.40,0.32
0.00,0.00,0.38,0.33
0.00,0.00,0.37,0.35
0.00,0.00,0.35,0.36
0.00,0.00,0.34,0.37
0.00,0.00,0.32,0.38
0.00,0.00,0.31,0.39
0.00,0.00,0.29,0.40
0.00,0.00,0.28,0.41
0.00,0.00,0.26,0.42
0.00,0.00,0.24,0.43
0.00,0.00,0.23,0.44
0.00,0.00,0.21,0.45
0.00,0.00,0.20,0.46
0.00,0.00,0.18,0.46
0.00,0.00,0.17,0.47
0.00,0.00,0.15,0.48
0.01,0.00,0.14,0.48
0.03,0.00,0.12,0.48
0.05,0.00,0.10,0.49
0.07,0.00,0.09,0.49
0.09,0.00,0.07,0.49
0.11,0.00,0.05,0.49
0.13,0.00,0.03,0.48
0.15,0.00,0.01,0.48
0.17,0.00,0.00,0.47
0.19,0.00,0.00,0.46
0.21,0.00,0.00,0.46
0.23,0.00,0.00,0.45
0.25,0.00,0.00,0.43
0.27,0.00,0.00,0.42
0.29,0.00,0.00,0.41
0.30,0.00,0.00,0.40
0.32,0.00,0.00,0.38
0.33,0.00,0.00,0.37
0.35,0.00,0.00,0.35
0.36,0.00,0.00,0.34
0.37,0.00,0.00,0.32
0.38,0.00,0.00,0.31
0.39,0.00,0.00,0.29
0.40,0.00,0.00,0.27
0.41,0.00,0.00,0.26
0.42,0.00,0.00,0.24
0.43,0.00,0.00,0.23
0.44,0.00,0.00,0.21
0.45,0.00,0.00,0.20
0.46,0.00,0.00,0.18
0.46,0.00,0.00,0.16
0.47,0.00,0.00,0.15
0.47,0.01,0.00,0.13
0.48,0.03,0.00,0.12
0.48,0.05,0.00,0.10
0.49,0.07,0.00,0.09
0.49,0.09,0.00,0.07
0.49,0.11,0.00,0.05
0.48,0.13,0.00,0.03
0.48,0.15,0.00,0.01
0.48,0.17,0.00,0.00
0.47,0.19,0.00,0.00
0.46,0.21,0.00,0.00
0.45,0.23,0.00,0.00
0.44,0.25,0.00,0.00
0.43,0.27,0.00,0.00
0.42,0.29,0.00,0.00
0.41,0.30,0.00,0.00
0.39,0.32,0.00,0.00
0.38,0.33,0.00,0.00
0.37,0.35,0.00,0.00
0.35,0.36,0.00,0.00
0.34,0.37,0.00,0.00
0.32,0.38,0.00,0.00
0.30,0.39,0.00,0.00
0.29,0.40,0.00,0.00
